"","country","continent","bmi","population","lifeexp_female","life_expectancy","che_gdp_pct","gdp","status","pop_mil","gdp_mil","gdp_per_cap"
"165","Sri Lanka","Asia",23.1,20970000,78.3,75.2,3.9,80604080688.58,"Developing",20.97,80604.08068858,3843.78067184454
"166","Sudan (former)","Africa",24.3,38902950,66.6,64.8,7.2,96741742021.67,"Developing",38.90295,96741.74202167,2486.74565866265
"167","Suriname","South America",26.5,559143,74.8,71.6,6.2,4787367928.12,"Developing",0.559143,4787.36792812,8561.9741785554
"168","Sweden","Europe",26.3,9799186,84,82.1,11,503650641896.13,"Developed",9.799186,503650.64189613,51397.1917561448
"169","Switzerland","Europe",25.7,8282396,84.9,83,11.9,679832391757.54,"Developed",8.282396,679832.39175754,82081.6092055415
"170","Syrian Arab Republic","Asia",27.7,17997408,68.3,63,NA,NA,"Developing",17.997408,NA,NA
"171","Tajikistan","Asia",25.4,8454028,72.8,70.6,6.9,7854602391.65,"Developing",8.454028,7854.60239165,929.095857223326
"172","Thailand","Asia",24.5,68714511,79.1,75.3,3.7,401295970240.34,"Developing",68.714511,401295.97024034,5840.04694787597
"173","Timor-Leste","Asia",21,1196302,70.1,68.3,3.5,3092624800,"Developing",1.196302,3092.6248,2585.15391598443
"174","Togo","Africa",23.3,7323158,61.1,60.2,6.2,4179185205.16,"Developing",7.323158,4179.18520516,570.680737075453
"175","Tonga","Oceania",31.8,100781,76.2,73.3,4.7,435438217.28,"Developing",0.100781,435.43821728,4320.63799009734
"176","Trinidad and Tobago","North America",27.7,1370328,75.4,71.7,6,25062893969.33,"Developing",1.370328,25062.89396933,18289.7043403696
"177","Tunisia","Africa",26.3,11179949,77.8,75.8,7,43173480831.97,"Developing",11.179949,43173.48083197,3861.68853113462
"178","Turkey","Europe/Asia",27.8,78529409,79.2,76.1,4.1,859796872677.61,"Developing",78.529409,859796.87267761,10948.7246068235
"179","Turkmenistan","Asia",26.1,5565287,71.3,67.8,6.3,35799714285.71,"Developing",5.565287,35799.71428571,6432.68070194942
"180","Tuvalu","Oceania",30.6,11099,NA,NA,16.7,35492333.86,"Developing",0.011099,35.49233386,3197.79564465267
"181","Uganda","Africa",22.3,38225453,64.5,62.1,6.8,27102650386.6,"Developing",38.225453,27102.6503866,709.021038589131
"182","Ukraine","Europe",26.8,45154029,76.8,72.1,6.9,91030959454.7,"Developing",45.154029,91030.9594547,2016.0096777787
"183","United Arab Emirates","Asia",28.4,9262900,78.5,77,3.6,358135057862.49,"Developing",9.2629,358135.05786249,38663.3838066361
"184","United Kingdom of Great Britain and Northern Ireland","Europe",27.4,65116219,82.9,81.1,9.7,2928591002002.51,"Developed",65.116219,2928591.00200251,44974.8318771781
"185","United Republic of Tanzania","Africa",22.9,51482633,65.4,63.4,3.6,47378599025.3,"Developing",51.482633,47378.5990253,920.283137525231
"186","United States of America","North America",29,320635163,81,78.6,16.8,18219297584000,"Developed",320.635163,18219297.584,56822.5188202456
"187","Uruguay","South America",27.5,3412009,80.6,76.8,9,53274304222.18,"Developing",3.412009,53274.30422218,15613.7642726558
"188","Uzbekistan","Asia",26.3,31298900,74.8,72.1,6.1,81847410181.8,"Developing",31.2989,81847.4101818,2615.02513448715
"189","Vanuatu","Oceania",26,271130,73.9,71.8,4.2,759689950.93,"Developing",0.27113,759.68995093,2801.9398477852
"190","Venezuela (Bolivarian Republic of)","South America",26.6,30081829,78.9,73.9,5.1,NA,"Developing",30.081829,NA,NA
"191","Viet Nam","Asia",21.7,92677076,80.7,76.2,5.7,193241108709.54,"Developing",92.677076,193241.10870954,2085.10148409883
"192","Yemen","Asia",23.3,26497889,66.2,64.5,4.2,42628328212.1,"Developing",26.497889,42628.3282121,1608.74431212615
"193","Zambia","Africa",22.1,15879361,63.6,61.7,4.4,21243350632.5,"Developing",15.879361,21243.3506325,1337.7963151351
"194","Zimbabwe","Africa",23.3,13814629,62.4,60.8,7.5,19963120600,"Developing",13.814629,19963.1206,1445.07106198798
